1-0012     0.39272   1.31333   -5.0383        10
1-0031     3.37679  -1.16522  -3.22815         8
1-0047     3.86475   4.28223  -3.84731        10
1-0069      3.5455  10.63392  -3.98816        10
1-0089     4.54639   4.99668   0.07021         9
1-0110     9.24928  -3.46946   3.13474         8
1-0132    13.45679  -2.69319   3.46645         8
1-0153    14.60141   1.65369   3.55125         8
1-0165    14.85643   1.28025   4.49409         8
1-0172    14.84598   0.43378    4.9897         8
1-0194    14.28363  -0.82882   5.29971         8
1-0218    12.39597  -2.95422   3.74277         8
1-0227    10.96524  -4.73796   2.67061         8
1-0237     9.44647  -6.47085   1.57376         8
1-0247      8.6371  -7.42157   0.58128         8
1-0275     9.28954  -0.19321  -4.94373         8
1-0290     7.64847  12.60814  -11.95074         9
1-0309     4.13574  21.30665  -17.04277        10
1-0330     4.38045  13.06604  -13.29922        10
1-0343     7.09647   5.96733  -10.2338         9
1-0374    16.24788   3.12133  -4.77081         9
1-0398    26.25333   1.60094   1.57472         5
1-0405    30.77354  -1.60325   4.03143         5
1-0416    36.08881  -7.49403    7.7135         5
1-0427    39.89577  -15.55983  11.99149         5
1-0438    42.10568  -22.92002  14.71242         5
1-0449    41.76863  -26.5613  15.20273         5
1-0459    39.29729  -25.04396  15.20157         5
1-0469    37.03278  -20.23969  14.66278         5
1-0479    35.31622  -14.10144  12.53261         5
1-0490    32.20168  -6.36861   8.78673         5
1-0500     28.3645  -0.34296   5.29962         5
1-0513    21.80025   5.11347   0.50787         9
1-0522    16.32024    7.5776  -2.60701         9
1-0532     9.66321  10.05733  -5.39775         9
1-0545     2.93066  13.80693  -8.14432        10
1-0555     0.04721  17.97078  -10.2542        10
1-0565    -1.32446  22.93322  -11.75725        10
1-0578     -2.0014  27.49561  -10.62199        10
1-0588    -2.60207  29.08897  -8.07219        10
1-0598    -2.79041   28.8479  -5.24059        10
1-0610     0.94321  25.57913  -2.05396        10
1-0611      1.5363  25.16794  -1.77933        10
1-0620     7.99657  21.03457   1.40128         9
1-0631    17.60568  15.44376   6.95253         9
1-0644    29.15919   6.42686  16.28908         5
1-0655    38.07504  -1.94849  24.06145         5
1-0665    42.24904  -7.32903  29.32805         5
1-0677    44.20728  -13.04501  34.35609         5
1-0687    44.66962  -15.97107  37.48303         5
1-0699     43.7337  -13.56591  38.37892         5
1-0708    43.02573  -8.13519  35.82622         5
1-0720    43.33037  -1.33109   30.7505         5
1-0729    42.85832   2.65767  26.67125         5
1-0743    38.26897   5.89593  21.37965         5
1-0752    33.90216    7.3748  18.53012         5
1-0764    30.51469   9.18207  15.75714         5
1-0776    30.41606  12.50977  13.69418         5
1-0788    32.40747  15.29882  12.89549         5
1-0797    33.80112  16.63234  12.38521         5
1-0811    32.33769  17.66829  10.06125         5
1-0821    26.93492   18.9758    6.4082         9
1-0832    19.27592  20.77791   0.77849         9
1-0843    12.79117    22.213  -4.49164         9
1-0855     9.83365  24.53973  -9.33809         9
1-0865    11.12241  26.71438  -12.15323         9
1-0877    15.01628  27.30891  -12.5401         9
1-0887    19.07588  25.61448  -10.64436         9
1-0898    22.52994  23.85571  -7.65604         9
1-0909    25.00989  23.01672  -4.38269         9
1-0921     28.3002  20.93095  -0.26898         9
1-0930    32.24782  17.49221   1.93399         9
1-0942    41.00931  11.45827   4.03442         5
1-0952    47.31065    7.4186   5.75919         5
1-0963    51.87993     1.608   9.40933         5
1-0974    55.39848  -5.42896  13.91109         5
1-0986     58.9498  -10.93641  17.69072         2
1-0995      59.537  -11.70808  19.60654         2
1-1008    57.48766  -6.11157  19.78439         5
1-1018    57.02271   -1.6195  18.96024         5
1-1030    58.66208   0.92102  17.07533         2
1-1039    59.68123   0.69694  15.59007         2
1-1053    60.01847  -2.23918  12.09787         2
1-1061    59.86552  -4.91996  10.20912         2
1-1073    59.99386  -8.63026   7.66463         2
1-1083    60.04689  -10.00295   5.78522         2
1-1097    61.80261  -6.27325   2.83907         2
1-1104     63.5914  -3.07612   1.33394         2
1-1119    67.90064   1.44442  -0.93637         2
1-1126    69.28854   1.47684  -1.54898         2
1-1141    69.80466  -3.01042  -1.85588         2
1-1148    69.56502  -5.98976   -1.7453         2
1-1164    72.96531  -15.53492  -1.16183         2
1-1173    78.18819  -19.24605  -2.13457         2
1-1186    85.60304  -18.09716   -5.5789         4
1-1196     87.5174  -12.80034   -9.5733         4
1-1208    86.22497  -7.11463  -14.01212         2
1-1218    84.51589  -5.70793  -16.62332         2
1-1229    80.09124  -4.34374  -18.30238         2
1-1239    78.11104  -2.68315  -18.52226         2
1-1251    82.31014  -4.02292  -17.33813         2
1-1261    90.49965  -9.53242  -15.34224         4
1-1272    97.96355  -16.16057  -13.55991         4
1-1283     97.9835  -19.39389  -12.41589         4
1-1294    93.41577  -19.65951  -11.43445         4
1-1304    90.35717  -19.60765  -10.59731         4
1-1316    89.45779  -18.51792  -9.83269         4
1-1326    91.09496  -15.84234  -8.88759         4
1-1336    94.75937  -14.03159  -7.19704         4
1-1347    99.49564  -15.43522  -4.49506         4
1-1359    104.69594  -23.21657  -0.16406         4
1-1369    104.04421  -30.65446   4.40843         4
1-1380    101.77531  -34.7726   8.65048         4
1-1391    103.35387  -35.63853  10.93047         4
1-1402    108.87093  -35.28283  10.71045         4
1-1412    111.91822  -31.73186   8.72081         4
1-1425    108.96755  -23.33282   4.24695         4
1-1434    103.17304  -16.81768   0.10556         4
1-1446    98.21784  -13.23574  -4.34869         4
1-1456     96.7233  -13.05926  -6.39998         4
1-1469    99.61911  -13.97239  -7.25192         4
1-1478    102.20253  -14.21689  -7.22404         4
1-1491    104.86285  -15.19151  -5.88675         4
1-1500    102.95564  -14.82367  -4.77707         4
1-1513    96.45617  -11.8762  -4.14966         4
1-1521    93.03551  -10.04731  -4.11241         4
